	AllTransactions

	1/1/2023 through 3/9/2026 (in U.S. Dollars)


	Date	Account	Description	Memo	Category	Amount	
			
			
			
			
			
							
	BALANCE 12/31/2022	-0.0(	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-81.10	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.55	
				Medicare Tax	Tax Spouse:Medicare	-49.71	
	    3/10/2023	Investment1	CHEVRON CORPORATION	CHEVRON CORPORATION	_DivInc	31.71	
	    3/10/2023	Investment1	EMERSON ELECTRIC CO	EMERSON ELECTRIC CO	_DivInc	10.92	
	    3/10/2023	Investment1	P P G INDUSTRIES INC	P P G INDUSTRIES INC	_DivInc	5.58	
	    3/10/2023	Investment1	TARGET CORP	TARGET CORP	_DivInc	15.12	
	    3/11/2023	MasterCard	         Qps		Dining	-2.85	
	    3/11/2023	MasterCard	Walgreens		Medical:Medicine	-19.98	
	    3/11/2023	MasterCard	Walgreens		Medical:Medicine	-7.99	
	    3/13/2023	Cash	ARCO		Auto:Fuel	-19.64	
	    3/13/2023	MasterCard	Trader Joe's		Groceries	-62.82	
	    3/13/2023	MasterCard	Pony Express		Mail&Ship	-10.00	
	    3/14/2023	Cash	ARCO		Auto:Fuel	-22.23	
	    3/14/2023	MasterCard	Amazon		Medical:Medicine	-13.48	
	    3/14/2023	Investment1	31.517 AMERICAN BALANCED FUND CL A		_DivInc	899.81	
	    3/14/2023	Investment1	2.928 AMERICAN INC FD OF AMER 98154		_DivInc	64.51	
	    3/15/2023	Checking	Farmers		Auto:Insurance	-282.83	
	    3/15/2023	Cash	Prov L&a Dis		Insurance:Disability Insurance	-130.86	
	    3/15/2023	Cash		Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-405.48	
				Medicare Tax	Tax:Medicare	-36.79	
				Social Security (FICA)	Tax:Soc Sec	-130.89	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    3/15/2023	MasterCard	Musashi		Dining	-97.10	
	    3/15/2023	MasterCard	Prime Steakhouse		Dining	-40.23	
	    3/15/2023	Investment1	MCDONALDS CORP	MCDONALDS CORP	_DivInc	13.68	
	    3/15/2023	Investment1	NEXTERA ENERGY INC	NEXTERA ENERGY INC	_DivInc	14.49	
	    3/16/2023	MasterCard	Amazon		Personal Care	-4.03	
	    3/16/2023	MasterCard	Amazon		Household	-44.03	
	    3/16/2023	Investment1	7.042 FUNDAMENTAL INVESTORS FUND CL A		_DivInc	424.86	
	    3/16/2023	Investment1	FACTSET RESEARCH SYSTEMS	FACTSET RESEARCH SYSTEMS	_DivInc	5.34	
